Lens,Capacity,Wording,Study,Year,Country,Robot Type,Age group,Population,Age,N,% Endorsing,% Ambivalent or Pretending,% Rejecting,Notes
2) goal-directed agent (perceptual-cognitive),self-awareness,"""Can __ be aware of itself?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,adults,MTurk,18-65 years,100,19%,28%,53%,
2) goal-directed agent (perceptual-cognitive),temperature,"""Can __ sense temperatures?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,adults,MTurk,18-65 years,101,82%,7%,11%,
2) goal-directed agent (perceptual-cognitive),temperature,"""How capable is __ of sensing temperatures?""","Weisman, Dweck, & Markman (2016), Study 1",2016,US,humanoid,adults,MTurk,20-75 years,205,59%,27%,14%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
2) goal-directed agent (perceptual-cognitive),temperature,"""How capable is __ of sensing temperatures?""","Weisman, Dweck, & Markman (2016), Study 2",2016,US,humanoid,adults,MTurk,20-70 years,204,59%,26%,15%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
2) goal-directed agent (perceptual-cognitive),temperature,"""How capable is __ of sensing temperatures?""","Weisman, Dweck, & Markman (2016), Study 3",2016,US,humanoid,adults,MTurk,20-68 years,200,48%,28%,23%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
2) goal-directed agent (perceptual-cognitive),thinking,"""Can __ think?""","Kahn, Kanda, Ishiguro, Gill, Ruckert, Shen, Gary, Reichert, Freier, & Severson (2012)",2012,US,humanoid,adults,undergraduates,-,40,73%,-,-,
2) goal-directed agent (perceptual-cognitive),thinking,"""Can __ have thoughts?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,adults,MTurk,18-65 years,100,15%,22%,63%,
2) goal-directed agent (perceptual-cognitive),thinking,"""100 years in the future, will robots think exactly the same way as humans?""","Levin, Killingsworth, & Saylor (2008), Study 2",2008,US,-,adults,community sample,-,16,13%,19%,67%,
2) goal-directed agent (perceptual-cognitive),thinking,"""Does __ think?""",Severson (2010),2010,US,dinosaur,adults,undergraduates,18-23 years,26,12%,4%,85%,
2) goal-directed agent (perceptual-cognitive),thinking,"""100 years in the future, will robots think exactly the same way as humans?""","Levin, Killingsworth, & Saylor (2008), Study 1",2008,US,-,adults,community sample,-,27,11%,11%,59%,
2) goal-directed agent (perceptual-cognitive),thinking,"""How capable is __ of having thoughts?""","Weisman, Dweck, & Markman (2016), Study 3",2016,US,humanoid,adults,MTurk,20-68 years,200,6%,26%,69%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
2) goal-directed agent (perceptual-cognitive),thinking,"""How capable is __ of having thoughts?""","Weisman, Dweck, & Markman (2016), Study 2",2016,US,humanoid,adults,MTurk,20-70 years,204,4%,15%,81%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
2) goal-directed agent (perceptual-cognitive),thinking,"""How capable is __ of having thoughts?""","Weisman, Dweck, & Markman (2016), Study 1",2016,US,humanoid,adults,MTurk,20-75 years,205,3%,20%,77%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
2) goal-directed agent (perceptual-cognitive),touch,"""Can __ feel when you touch it?""",Severson (2010),2010,US,dinosaur,adults,undergraduates,18-23 years,26,69%,8%,23%,
2) goal-directed agent (perceptual-cognitive),vision,"""Can __ see things?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,adults,MTurk,18-65 years,101,75%,16%,9%,
2) goal-directed agent (perceptual-cognitive),vision,"""How capable is __ of seeing things?""","Weisman, Dweck, & Markman (2016), Study 3",2016,US,humanoid,adults,MTurk,20-68 years,200,54%,27%,19%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
2) goal-directed agent (perceptual-cognitive),vision,"""Does __ see red?""","Sytsma & Machery (2010), Study 1",2010,-,non-humanoid,adults,"online, non-philosophers",18-68 years,52,48%,52%,10%,"derived from 7-point scale (1 to 7): >5: yes, <3: no, otherwise ambiv"
2) goal-directed agent (perceptual-cognitive),vision,"""How capable is __ of seeing things?""","Weisman, Dweck, & Markman (2016), Study 1",2016,US,humanoid,adults,MTurk,20-75 years,205,48%,34%,18%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
2) goal-directed agent (perceptual-cognitive),vision,"""How capable is __ of seeing things?""","Weisman, Dweck, & Markman (2016), Study 2",2016,US,humanoid,adults,MTurk,20-70 years,204,45%,31%,25%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
2) goal-directed agent (perceptual-cognitive),vision,"""Can __ see?""",Severson (2010),2010,US,dinosaur,adults,undergraduates,18-23 years,26,42%,0%,58%,
2) goal-directed agent (perceptual-cognitive),choice,"""Can __ make choices?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,children,museum visitors,7-9 years,96,62%,14%,23%,
2) goal-directed agent (perceptual-cognitive),choice,"""Can __ decide what to do?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,children,museum visitors,7-9 years,95,55%,24%,21%,
2) goal-directed agent (perceptual-cognitive),choice,"""Which cards have things on them that if you gave them a choice, they could decide what to do?""",Bernstein & Crowley (2008),2008,US,rover,children,museum visitors,4-7 years,60,52%,-,-,
2) goal-directed agent (perceptual-cognitive),choice,"""Which cards have things on them that if you gave them a choice, they could decide what to do?""",Bernstein & Crowley (2008),2008,US,humanoid,children,museum visitors,4-7 years,60,50%,-,-,
2) goal-directed agent (perceptual-cognitive),communication,"""Can __ communicate with somebody else?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,children,museum visitors,7-9 years,94,79%,16%,5%,
2) goal-directed agent (perceptual-cognitive),communication,"""Do you think __ can understand you?""","Weiss, Wurhofer, & Tscheligi (2009)",2009,Austria,dog,children,mall visitors,3-15 years,129,78%,-,-,
2) goal-directed agent (perceptual-cognitive),depth perception,"""Can __ sense whether something is close by or far away?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,children,museum visitors,7-9 years,95,60%,20%,19%,
2) goal-directed agent (perceptual-cognitive),goals,"""Can __ have goals, like when you're trying hard to do something or make something happen?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,children,museum visitors,7-9 years,96,55%,29%,16%,
2) goal-directed agent (perceptual-cognitive),hearing,"""Can __ hear sounds?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,children,museum visitors,7-9 years,96,73%,17%,10%,
2) goal-directed agent (perceptual-cognitive),hearing,"""Come here __. Do you think __ can hear me?""","Kahn, Friedman, Prez-Granados, & Freier (2006)",2006,US,dog,children,"university prechool, community",3 years,20,61%,-,-,
2) goal-directed agent (perceptual-cognitive),hearing,"""Come here __. Do you think __ can hear me?""","Melson, Kahn, Beck, & Friedman (2009)",2009,US,dog,children,community sample,7-15 years,72,60%,-,-,
2) goal-directed agent (perceptual-cognitive),hearing,"""Come here __. Do you think __ can hear me?""","Kahn, Friedman, Prez-Granados, & Freier (2006)",2006,US,dog,children,"university prechool, community",5 years,20,30%,-,-,
2) goal-directed agent (perceptual-cognitive),intelligence,"""Is __ intelligent?""","Kahn, Kanda, Ishiguro, Freier, Severson, Gill, Ruckert, & Shen (2012)",2012,US,humanoid,children,community sample,9 years,30,93%,-,-,
2) goal-directed agent (perceptual-cognitive),intelligence,"""Is __ intelligent?""","Kahn, Kanda, Ishiguro, Freier, Severson, Gill, Ruckert, & Shen (2012)",2012,US,humanoid,children,school children,12 years,30,73%,-,-,
2) goal-directed agent (perceptual-cognitive),intelligence,"""Is __ intelligent?""","Kahn, Kanda, Ishiguro, Freier, Severson, Gill, Ruckert, & Shen (2012)",2012,US,humanoid,children,school children,15 years,30,70%,-,-,
2) goal-directed agent (perceptual-cognitive),interest,"""Did you think __ was interested in the aquarium?""","Kahn, Kanda, Ishiguro, Freier, Severson, Gill, Ruckert, & Shen (2012)",2012,US,humanoid,children,community sample,9 years,30,90%,-,-,
2) goal-directed agent (perceptual-cognitive),interest,"""Did you think __ was interested in the aquarium?""","Kahn, Kanda, Ishiguro, Freier, Severson, Gill, Ruckert, & Shen (2012)",2012,US,humanoid,children,school children,12 years,30,73%,-,-,
2) goal-directed agent (perceptual-cognitive),interest,"""Did you think __ was interested in the aquarium?""","Kahn, Kanda, Ishiguro, Freier, Severson, Gill, Ruckert, & Shen (2012)",2012,US,humanoid,children,school children,15 years,30,63%,-,-,
2) goal-directed agent (perceptual-cognitive),knowledge,"""Does __ know things?""","Mikropoulos, Milsailidi, & Bonoti (2003)",2003,Greece,humanoid,children,school children,3 years,13,92%,0%,8%,
2) goal-directed agent (perceptual-cognitive),knowledge,"""Does __ know things?""","Mikropoulos, Milsailidi, & Bonoti (2003)",2003,Greece,humanoid,children,school children,4 years,25,68%,0%,32%,
2) goal-directed agent (perceptual-cognitive),knowledge,"""Does __ know things?""","Mikropoulos, Milsailidi, & Bonoti (2003)",2003,Greece,humanoid,children,school children,5 years,16,44%,0%,56%,
2) goal-directed agent (perceptual-cognitive),learning,"""Which cards have things on them that can learn how to do new things?""",Bernstein & Crowley (2008),2008,US,humanoid,children,museum visitors,4-7 years,60,55%,-,-,
2) goal-directed agent (perceptual-cognitive),learning,"""Which cards have things on them that can learn how to do new things?""",Bernstein & Crowley (2008),2008,US,rover,children,museum visitors,4-7 years,60,50%,-,-,
2) goal-directed agent (perceptual-cognitive),math,"""Can __ do math?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,children,museum visitors,7-9 years,94,74%,10%,16%,
2) goal-directed agent (perceptual-cognitive),math,"""Which cards have things on them that can add numbers together?""",Bernstein & Crowley (2008),2008,US,humanoid,children,museum visitors,4-7 years,60,53%,-,-,
2) goal-directed agent (perceptual-cognitive),math,"""Which cards have things on them that can add numbers together?""",Bernstein & Crowley (2008),2008,US,rover,children,museum visitors,4-7 years,60,47%,-,-,
2) goal-directed agent (perceptual-cognitive),memory,"""Do you think __ will remember me when I come back tomorrow?""",Okita & Schwartz (2006),2006,US,dog,children,university daycare,4 years,11,88%,-,-,
2) goal-directed agent (perceptual-cognitive),memory,"""Do you think __ will remember me when I come back tomorrow?""",Okita & Schwartz (2006),2006,US,dog,children,university daycare,5 years,11,88%,-,-,
2) goal-directed agent (perceptual-cognitive),memory,"""Can __ remember things?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,children,museum visitors,7-9 years,95,82%,12%,6%,
2) goal-directed agent (perceptual-cognitive),memory,"""Do you think __ will remember me when I come back tomorrow?""",Okita & Schwartz (2006),2006,US,dog,children,university daycare,3 years,10,80%,-,-,
2) goal-directed agent (perceptual-cognitive),memory,"""If you saw __ again, could __ remember you?""","Beran, Ramirez-Serrano, Kuzyk, Fior, & Nugent (2011)",2011,Canada,robotic arm,children,museum visitors,5-16 years,184,53%,10%,37%,
2) goal-directed agent (perceptual-cognitive),memory,"""Which cards have things on them that can remember things? Like if they did something today, they would remember it tomorrow?""",Bernstein & Crowley (2008),2008,US,humanoid,children,museum visitors,4-7 years,60,53%,-,-,
2) goal-directed agent (perceptual-cognitive),memory,"""Which cards have things on them that can remember things? Like if they did something today, they would remember it tomorrow?""",Bernstein & Crowley (2008),2008,US,rover,children,museum visitors,4-7 years,60,45%,-,-,
2) goal-directed agent (perceptual-cognitive),perceptual discrimination,"""Do you think __ can tell between a real and pretend bone?""",Okita & Schwartz (2006),2006,US,dog,children,university daycare,4 years,11,88%,-,-,
2) goal-directed agent (perceptual-cognitive),perceptual discrimination,"""Do you think __ can tell between a real and pretend bone?""",Okita & Schwartz (2006),2006,US,dog,children,university daycare,5 years,11,80%,-,-,
2) goal-directed agent (perceptual-cognitive),perceptual discrimination,"""Do you think __ can tell between a real and pretend bone?""",Okita & Schwartz (2006),2006,US,dog,children,university daycare,3 years,10,75%,-,-,
2) goal-directed agent (perceptual-cognitive),person recognition,"""Can __ recognize somebody else?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,children,museum visitors,7-9 years,94,59%,26%,16%,
2) goal-directed agent (perceptual-cognitive),planning,"""Can __ make plans?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,children,museum visitors,7-9 years,95,54%,19%,27%,
2) goal-directed agent (perceptual-cognitive),prediction,"""Do you think __ will know it's time to go for a walk if I grab a leash?""",Okita & Schwartz (2006),2006,US,dog,children,university daycare,3 years,10,88%,-,-,
2) goal-directed agent (perceptual-cognitive),prediction,"""Do you think __ will know it's time to go for a walk if I grab a leash?""",Okita & Schwartz (2006),2006,US,dog,children,university daycare,5 years,11,82%,-,-,
2) goal-directed agent (perceptual-cognitive),prediction,"""Do you think __ will know it's time to go for a walk if I grab a leash?""",Okita & Schwartz (2006),2006,US,dog,children,university daycare,4 years,11,80%,-,-,
2) goal-directed agent (perceptual-cognitive),reasoning,"""Can __ figure out how to do things?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,children,museum visitors,7-9 years,94,78%,14%,9%,
2) goal-directed agent (perceptual-cognitive),reasoning,"""Which cards have things on them that if we told them what to do, they could figure out how to do it?""",Bernstein & Crowley (2008),2008,US,humanoid,children,museum visitors,4-7 years,60,73%,-,-,
2) goal-directed agent (perceptual-cognitive),reasoning,"""Which cards have things on them that if we told them what to do, they could figure out how to do it?""",Bernstein & Crowley (2008),2008,US,rover,children,museum visitors,4-7 years,60,67%,-,-,
2) goal-directed agent (perceptual-cognitive),temperature,"""Can __ sense temperatures?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,children,museum visitors,7-9 years,95,62%,18%,20%,
2) goal-directed agent (perceptual-cognitive),thinking,"""Does __ think?""",Severson (2010),2010,US,dinosaur,children,school children,10 years,26,62%,0%,38%,
2) goal-directed agent (perceptual-cognitive),thinking,"""Can this __ think?""","Saylor, Somanader, Levin, & Kawamura (2010)",2010,US,humanoid,children,community sample,3 years,14,61%,-,-,
2) goal-directed agent (perceptual-cognitive),thinking,"""Which cards have things on them that can think?""",Bernstein & Crowley (2008),2008,US,humanoid,children,museum visitors,4-7 years,60,60%,-,-,
2) goal-directed agent (perceptual-cognitive),thinking,"""Which cards have things on them that can think?""",Bernstein & Crowley (2008),2008,US,rover,children,museum visitors,4-7 years,60,58%,-,-,
2) goal-directed agent (perceptual-cognitive),thinking,"""If you held a cup in front of this __, could this __ think about the cup?""","Saylor, Somanader, Levin, & Kawamura (2010)",2010,US,humanoid,children,community sample,3 years,14,54%,-,-,
2) goal-directed agent (perceptual-cognitive),thinking,"""Can __ have thoughts?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,children,museum visitors,7-9 years,96,50%,19%,31%,
2) goal-directed agent (perceptual-cognitive),thinking,"""Is it silly or ok to say __ can think?""",Nigam & Klahr (2000),2000,US,-,children,school children,5-10 years,28,44%,-,-,
2) goal-directed agent (perceptual-cognitive),thinking,"""Does __ think?""",Severson (2010),2010,US,dinosaur,children,community sample,7 years,26,27%,4%,69%,
2) goal-directed agent (perceptual-cognitive),thinking,"""Can this __ think?""","Saylor, Somanader, Levin, & Kawamura (2010)",2010,US,humanoid,children,community sample,4 years,22,16%,-,-,
2) goal-directed agent (perceptual-cognitive),thinking,"""If you held a cup in front of this __, could this __ think about the cup?""","Saylor, Somanader, Levin, & Kawamura (2010)",2010,US,humanoid,children,community sample,4 years,22,14%,-,-,
2) goal-directed agent (perceptual-cognitive),touch,"""Can __ feel when you touch it?""",Severson (2010),2010,US,dinosaur,children,school children,10 years,26,85%,4%,12%,
2) goal-directed agent (perceptual-cognitive),touch,"""Can __ feel when you touch it?""",Severson (2010),2010,US,dinosaur,children,community sample,7 years,26,85%,8%,8%,
2) goal-directed agent (perceptual-cognitive),vision,"""Can __ see things?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,children,museum visitors,7-9 years,96,91%,4%,5%,
2) goal-directed agent (perceptual-cognitive),vision,"""Can __ see the doggie toy?""","Melson, Kahn, Beck, & Friedman (2009)",2009,US,dog,children,community sample,7-15 years,72,79%,-,-,
2) goal-directed agent (perceptual-cognitive),vision,"""Can __ see the doggie toy?""","Kahn, Friedman, Prez-Granados, & Freier (2006)",2006,US,dog,children,"university prechool, community",3 years,20,75%,-,-,
2) goal-directed agent (perceptual-cognitive),vision,"""Do you think __ can see you?""","Weiss, Wurhofer, & Tscheligi (2009)",2009,Austria,dog,children,mall visitors,3-15 years,129,75%,-,-,
2) goal-directed agent (perceptual-cognitive),vision,"""Can __ see?""",Severson (2010),2010,US,dinosaur,children,school children,10 years,26,65%,0%,35%,
2) goal-directed agent (perceptual-cognitive),vision,"""Can __ see the doggie toy?""","Kahn, Friedman, Prez-Granados, & Freier (2006)",2006,US,dog,children,"university prechool, community",5 years,20,61%,-,-,
2) goal-directed agent (perceptual-cognitive),vision,"""Can __ see?""",Severson (2010),2010,US,dinosaur,children,community sample,7 years,26,54%,15%,31%,
2) goal-directed agent (perceptual-cognitive),vision,"""If you held a banana in front of this __, could this __ see the banana?""","Saylor, Somanader, Levin, & Kawamura (2010)",2010,US,humanoid,children,community sample,3 years,14,50%,-,-,
2) goal-directed agent (perceptual-cognitive),vision,"""Can __ see the blocks?""","Beran, Ramirez-Serrano, Kuzyk, Fior, & Nugent (2011)",2011,Canada,robotic arm,children,museum visitors,5-16 years,184,42%,7%,51%,
2) goal-directed agent (perceptual-cognitive),vision,"""If you held a banana in front of this __, could this __ see the banana?""","Saylor, Somanader, Levin, & Kawamura (2010)",2010,US,humanoid,children,community sample,4 years,22,41%,-,-,
3) social partner (social-emotional),anger,"""Can __ get angry?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,adults,MTurk,18-65 years,101,4%,5%,91%,
3) social partner (social-emotional),anger,"""How capable is __ of getting angry?""","Weisman, Dweck, & Markman (2016), Study 1",2016,US,humanoid,adults,MTurk,20-75 years,205,2%,9%,88%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
3) social partner (social-emotional),anger,"""How capable is __ of getting angry?""","Weisman, Dweck, & Markman (2016), Study 2",2016,US,humanoid,adults,MTurk,20-70 years,204,2%,7%,91%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
3) social partner (social-emotional),anger,"""How capable is __ of getting angry?""","Weisman, Dweck, & Markman (2016), Study 3",2016,US,humanoid,adults,MTurk,20-68 years,200,0%,14%,86%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
3) social partner (social-emotional),belief,"""Can __ have beliefs, like when you think something is true?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,adults,MTurk,18-65 years,101,9%,14%,77%,
3) social partner (social-emotional),belief,"""How capable is __ of holding beliefs?""","Weisman, Dweck, & Markman (2016), Study 2",2016,US,humanoid,adults,MTurk,20-70 years,204,4%,12%,84%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
3) social partner (social-emotional),belief,"""How capable is __ of holding beliefs?""","Weisman, Dweck, & Markman (2016), Study 1",2016,US,humanoid,adults,MTurk,20-75 years,205,3%,14%,83%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
3) social partner (social-emotional),belief,"""How capable is __ of holding beliefs?""","Weisman, Dweck, & Markman (2016), Study 3",2016,US,humanoid,adults,MTurk,20-68 years,200,2%,14%,83%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
3) social partner (social-emotional),disrespect,"""How capable is __ of feeling disrespected?""","Weisman, Dweck, & Markman (2016), Study 3",2016,US,humanoid,adults,MTurk,20-68 years,200,2%,11%,88%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
3) social partner (social-emotional),disrespect,"""How capable is __ of feeling disrespected?""","Weisman, Dweck, & Markman (2016), Study 1",2016,US,humanoid,adults,MTurk,20-75 years,205,1%,8%,91%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
3) social partner (social-emotional),disrespect,"""How capable is __ of feeling disrespected?""","Weisman, Dweck, & Markman (2016), Study 2",2016,US,humanoid,adults,MTurk,20-70 years,204,0%,12%,88%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
3) social partner (social-emotional),disrespect,"""Can __ get hurt feelings?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,adults,MTurk,18-65 years,101,0%,4%,96%,
3) social partner (social-emotional),embarrassment,"""How capable is __ of feeling embarrassed?""","Weisman, Dweck, & Markman (2016), Study 1",2016,US,humanoid,adults,MTurk,20-75 years,205,2%,4%,94%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
3) social partner (social-emotional),embarrassment,"""How capable is __ of feeling embarrassed?""","Weisman, Dweck, & Markman (2016), Study 2",2016,US,humanoid,adults,MTurk,20-70 years,204,1%,9%,90%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
3) social partner (social-emotional),embarrassment,"""How capable is __ of feeling embarrassed?""","Weisman, Dweck, & Markman (2016), Study 3",2016,US,humanoid,adults,MTurk,20-68 years,200,1%,9%,90%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
3) social partner (social-emotional),embarrassment,"""Can __ feel embarrassed?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,adults,MTurk,18-65 years,100,0%,5%,95%,
3) social partner (social-emotional),emotion recognition,"""Can __ understand how somebody else is feeling?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,adults,MTurk,18-65 years,101,7%,22%,71%,
3) social partner (social-emotional),emotion recognition,"""How capable is __ of understanding how others are feeling?""","Weisman, Dweck, & Markman (2016), Study 1",2016,US,humanoid,adults,MTurk,20-75 years,205,6%,23%,71%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
3) social partner (social-emotional),emotion recognition,"""How capable is __ of understanding how others are feeling?""","Weisman, Dweck, & Markman (2016), Study 3",2016,US,humanoid,adults,MTurk,20-68 years,200,6%,26%,68%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
3) social partner (social-emotional),emotion recognition,"""How capable is __ of understanding how others are feeling?""","Weisman, Dweck, & Markman (2016), Study 2",2016,US,humanoid,adults,MTurk,20-70 years,204,3%,26%,70%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
3) social partner (social-emotional),emotions,"""Does __ have feelings, like happy or sad?""",Severson (2010),2010,US,dinosaur,adults,undergraduates,18-23 years,26,35%,0%,65%,
3) social partner (social-emotional),emotions,"""Does __ have feelings?""","Kahn, Kanda, Ishiguro, Gill, Ruckert, Shen, Gary, Reichert, Freier, & Severson (2012)",2012,US,humanoid,adults,undergraduates,-,40,35%,-,-,
3) social partner (social-emotional),guilt,"""How capable is __ of experiencing guilt?""","Weisman, Dweck, & Markman (2016), Study 3",2016,US,humanoid,adults,MTurk,20-68 years,200,2%,10%,88%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
3) social partner (social-emotional),guilt,"""How capable is __ of experiencing guilt?""","Weisman, Dweck, & Markman (2016), Study 2",2016,US,humanoid,adults,MTurk,20-70 years,204,1%,8%,90%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
3) social partner (social-emotional),guilt,"""How capable is __ of experiencing guilt?""","Weisman, Dweck, & Markman (2016), Study 1",2016,US,humanoid,adults,MTurk,20-75 years,205,0%,5%,94%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
3) social partner (social-emotional),guilt,"""Can __ feel guilty?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,adults,MTurk,18-65 years,100,0%,3%,97%,
3) social partner (social-emotional),happiness,"""__ feels happy when he gets what he wants.""","Huebner (2009), Study 2",2009,US,humanoid,adults,undergraduates,-,28,39%,21%,39%,
3) social partner (social-emotional),happiness,"""Can __ be happy?""","Kahn, Kanda, Ishiguro, Gill, Ruckert, Shen, Gary, Reichert, Freier, & Severson (2012)",2012,US,humanoid,adults,undergraduates,-,40,28%,-,-,
3) social partner (social-emotional),happiness,"""Can __ feel happy?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,adults,MTurk,18-65 years,101,7%,4%,89%,
3) social partner (social-emotional),happiness,"""How capable is __ of feeling happy?""","Weisman, Dweck, & Markman (2016), Study 2",2016,US,humanoid,adults,MTurk,20-70 years,204,3%,8%,89%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
3) social partner (social-emotional),happiness,"""How capable is __ of feeling happy?""","Weisman, Dweck, & Markman (2016), Study 3",2016,US,humanoid,adults,MTurk,20-68 years,200,3%,12%,84%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
3) social partner (social-emotional),happiness,"""How capable is __ of feeling happy?""","Weisman, Dweck, & Markman (2016), Study 1",2016,US,humanoid,adults,MTurk,20-75 years,205,2%,8%,90%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
3) social partner (social-emotional),joy,"""Can __ feel joy?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,adults,MTurk,18-65 years,101,4%,5%,91%,
3) social partner (social-emotional),joy,"""How capable is __ of experiencing joy?""","Weisman, Dweck, & Markman (2016), Study 1",2016,US,humanoid,adults,MTurk,20-75 years,205,3%,7%,90%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
3) social partner (social-emotional),joy,"""How capable is __ of experiencing joy?""","Weisman, Dweck, & Markman (2016), Study 2",2016,US,humanoid,adults,MTurk,20-70 years,204,2%,9%,89%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
3) social partner (social-emotional),joy,"""How capable is __ of experiencing joy?""","Weisman, Dweck, & Markman (2016), Study 3",2016,US,humanoid,adults,MTurk,20-68 years,200,2%,11%,86%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
3) social partner (social-emotional),left out,"""If you weren't playing with __, could __ feel left out by you?""",Severson (2010),2010,US,dinosaur,adults,undergraduates,18-23 years,25,19%,12%,69%,
3) social partner (social-emotional),love,"""Can __ feel love?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,adults,MTurk,18-65 years,101,4%,5%,91%,
3) social partner (social-emotional),love,"""How capable is __ of feeling love?""","Weisman, Dweck, & Markman (2016), Study 1",2016,US,humanoid,adults,MTurk,20-75 years,205,2%,7%,90%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
3) social partner (social-emotional),love,"""How capable is __ of feeling love?""","Weisman, Dweck, & Markman (2016), Study 3",2016,US,humanoid,adults,MTurk,20-68 years,200,2%,11%,88%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
3) social partner (social-emotional),love,"""How capable is __ of feeling love?""","Weisman, Dweck, & Markman (2016), Study 2",2016,US,humanoid,adults,MTurk,20-70 years,204,0%,9%,90%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
3) social partner (social-emotional),morality,"""Can __ know what's nice and what's mean?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,adults,MTurk,18-65 years,101,20%,27%,53%,
3) social partner (social-emotional),morality,"""How capable is __ of telling right from wrong?""","Weisman, Dweck, & Markman (2016), Study 3",2016,US,humanoid,adults,MTurk,20-68 years,200,10%,26%,64%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
3) social partner (social-emotional),morality,"""How capable is __ of telling right from wrong?""","Weisman, Dweck, & Markman (2016), Study 2",2016,US,humanoid,adults,MTurk,20-70 years,204,7%,25%,68%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
